"","Ailuropoda_melanoleuca","Bos_taurus","Colobus_angolensis_palliatus","Cebus_capucinus_imitator","Canis_familiaris","Capra_hircus","Callithrix_jacchus","Chinchilla_lanigera","Cavia_porcellus","Dasypus_novemcinctus","Equus_asinus_asinus","Equus_caballus","Felis_catus","Gorilla_gorilla","Heterocephalus_glaber","Homo_sapiens","Ictidomys_tridecemlineatus","Loxodonta_africana","Monodelphis_domestica","Macaca_fascicularis","Myotis_lucifugus","Macaca_mulatta","Microcebus_murinus","Mus_musculus","Microtus_ochrogaster","Mustela_putorius_furo","Meriones_unguiculatus","Nomascus_leucogenys","Neovison_vison","Ovis_aries","Oryctolagus_cuniculus","Octodon_degus","Otolemur_garnettii","Papio_anubis","Phascolarctos_cinereus","Peromyscus_maniculatus_bairdii","Pan_paniscus","Panthera_pardus","Pan_troglodytes","Rattus_norvegicus","Saimiri_boliviensis_boliviensis","Sus_scrofa","Tursiops_truncatus","Vombatus_ursinus","Vulpes_vulpes"
"PTHR11437_SF19",3,1,1,0,2,2,1,0,3,0,1,1,1,1,3,1,1,2,0,1,4,1,0,1,1,1,1,1,3,2,1,0,1,0,1,1,1,1,1,2,0,1,1,0,2
"PTHR11437_SF24",1,3,0,0,1,3,1,2,2,0,1,1,1,1,2,1,1,1,3,0,6,1,0,1,1,4,1,1,4,2,1,3,1,0,3,1,1,0,1,5,0,1,1,3,1
"PTHR11438",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3
"PTHR11442_SF33",3,2,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,4,1
"PTHR11442_SF41",1,2,1,1,1,2,2,1,1,3,2,2,1,1,2,2,1,1,2,2,2,2,3,2,2,1,1,2,2,1,0,2,0,2,2,4,2,3,3,3,1,1,2,3,1
"PTHR11444",3,3,3,3,2,4,3,3,3,3,3,2,3,3,3,4,4,3,3,3,4,3,6,3,3,3,5,3,3,3,5,4,3,3,3,3,3,3,4,3,6,3,3,4,3
"PTHR11447",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,5,3
"PTHR11449",7,4,1,4,6,7,3,3,1,6,3,2,5,3,7,1,5,2,2,3,1,1,2,1,4,4,4,2,8,4,4,14,4,2,11,3,4,4,2,8,2,1,1,14,7
"PTHR11452",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2
"PTHR11455_SF16",1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1
"PTHR11457",1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,2,1,1,1,1,2,1
"PTHR11461_SF135",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,1,1,1,9,1
"PTHR11461_SF142",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,3,1,1,3,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,2,1
"PTHR11461_SF145",1,6,1,1,1,6,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,10,4,0,4,1,1,6,1,1,1,1,1,14,1,1,1,6,2,4,1,1,1
"PTHR11461_SF150",1,1,2,2,1,1,1,2,6,1,2,1,1,2,1,4,2,1,1,2,1,2,1,6,2,1,9,1,1,1,7,1,1,2,1,3,1,1,1,2,1,2,2,1,2
"PTHR11461_SF155",1,8,1,1,1,2,1,1,2,1,4,1,1,1,2,2,2,1,2,2,1,2,2,4,1,1,1,2,1,3,1,0,1,2,1,1,1,1,3,2,1,1,1,1,1
"PTHR11461_SF27",1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"PTHR11461_SF48",1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11461_SF67",1,1,1,1,1,1,1,4,7,1,1,1,1,1,2,1,4,1,1,1,0,1,1,8,3,1,2,1,1,1,1,2,1,1,0,4,1,1,1,3,1,1,0,0,1
"PTHR11461_SF69",1,5,2,2,1,8,7,1,1,1,1,1,1,2,1,3,2,2,0,2,1,2,1,5,4,1,2,2,2,5,1,1,1,3,1,6,1,1,2,2,3,1,1,0,1
"PTHR11467_SF10",1,0,1,2,1,1,1,0,1,1,1,2,1,1,2,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,4,1,1,1,1,1,1,1,0,1,1,1,1,1
"PTHR11467_SF16",3,2,1,1,1,3,2,1,0,1,2,2,2,2,2,2,0,3,4,1,2,2,1,2,1,0,2,2,0,2,2,0,2,1,4,2,2,4,2,2,1,2,1,6,0
"PTHR11468",3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PTHR11469",1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2
"PTHR11471",9,10,9,9,9,10,9,8,8,9,9,9,9,9,8,29,8,8,9,9,9,9,9,9,9,9,10,9,8,9,9,9,9,9,10,8,9,9,9,12,9,8,8,15,9
"PTHR11472",4,7,4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,3,7,4,4,4,3,4,4
"PTHR11473",4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,5,4
"PTHR11474_SF3",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
"PTHR11476",2,2,2,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3
"PTHR11477_SF1",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,6,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1
"PTHR11477_SF4",1,1,1,1,2,1,1,2,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11477_SF7",1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
"PTHR11481",15,15,16,17,14,12,15,12,13,19,16,16,14,18,13,19,8,17,9,15,11,15,14,14,13,15,13,16,12,15,17,9,14,15,10,12,13,10,15,15,17,13,13,14,14
"PTHR11482",5,5,3,4,3,6,4,3,3,19,6,5,4,3,7,3,5,3,6,4,11,5,7,4,5,3,4,3,3,4,4,2,4,4,4,4,3,4,3,4,3,4,3,3,4
"PTHR11485_SF21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1
"PTHR11485_SF23",1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,1,1,2,1,2,3,2,1,2,2,2,1,2,2,1,2,2,0,2,2,2,2,1,2,2,2,0,2
"PTHR11486_SF4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11489",13,2,5,5,6,4,8,7,1,19,3,3,2,11,5,1,4,4,1,7,11,2,7,1,4,4,3,6,3,7,12,7,13,9,4,5,11,2,11,1,6,1,1,6,2
"PTHR11492",4,4,4,4,4,4,6,4,4,5,4,4,4,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,6,5,4,4,4,4,5,6,4,4,4,4,4,4,4
"PTHR11494",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR11496",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"PTHR11500",1,1,1,1,1,1,1,0,0,1,2,1,1,1,0,2,0,1,1,1,3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
"PTHR11501_SF14",1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1
"PTHR11502",8,5,6,10,13,10,12,2,3,2,2,3,4,5,2,1,6,4,2,3,3,1,15,1,4,2,5,7,4,6,9,8,2,4,4,5,7,7,6,3,6,5,1,6,3
"PTHR11504_SF2",1,2,5,2,4,2,3,1,1,1,1,1,2,2,3,1,1,1,1,1,1,3,1,1,2,0,2,2,4,1,4,2,3,3,3,4,2,5,2,1,1,1,1,5,5
"PTHR11506",4,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,5,5,4,5,4,4,5,4,4,4,5,5,5,4,4,4
"PTHR11510",1,1,1,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1
"PTHR11516",2,3,5,3,2,5,3,2,3,2,2,3,3,4,2,4,2,3,2,4,3,4,2,3,2,2,3,3,4,4,3,3,3,4,3,3,3,3,3,4,2,2,2,3,2
"PTHR11517_SF26",3,3,7,10,10,7,2,2,3,3,3,3,4,3,2,1,2,2,6,6,3,1,1,1,2,8,8,4,4,6,6,14,2,6,8,5,3,4,3,4,6,1,1,12,8
"PTHR11523",5,5,4,6,5,8,6,5,6,6,5,5,5,7,7,6,6,5,5,6,5,5,5,5,5,5,5,6,4,4,5,7,5,6,5,6,6,5,6,5,5,6,5,6,5
"PTHR11524",4,7,16,15,5,11,10,4,2,4,2,2,3,11,5,2,4,4,3,15,2,5,12,2,6,3,3,11,3,14,7,15,15,15,3,5,13,7,10,5,13,2,2,8,8
"PTHR11525",1,1,4,6,1,1,9,1,1,1,1,1,1,6,1,1,2,1,2,5,0,2,2,1,1,2,1,4,1,1,1,1,0,3,1,1,5,1,8,1,8,1,1,1,1
"PTHR11527_SF114",1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1
"PTHR11528",7,7,9,11,9,5,13,6,5,3,4,4,6,9,12,4,6,5,9,9,5,5,8,4,9,5,5,9,15,4,8,16,8,12,6,13,12,5,11,6,10,4,4,8,6
"PTHR11530",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2
"PTHR11532_SF41",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11533_SF163",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1
"PTHR11534",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"PTHR11537_SF17",2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11540_SF12",3,2,6,4,10,4,1,1,1,4,1,1,3,2,1,2,1,1,1,9,2,5,1,1,1,3,2,1,2,2,2,4,1,6,3,1,2,3,3,1,5,3,1,1,12
"PTHR11540_SF16",2,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3
"PTHR11540_SF17",2,2,6,6,8,3,7,5,1,11,2,1,3,5,7,2,2,2,9,5,3,2,1,1,3,4,2,5,3,1,4,13,2,5,7,6,5,3,6,1,8,1,1,13,6
"PTHR11544_SF32",3,4,3,4,2,3,7,2,3,3,2,2,2,3,7,2,3,2,2,3,3,1,5,2,2,2,2,5,2,3,4,4,2,3,2,2,4,2,4,2,4,2,2,2,4
"PTHR11544_SF41",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2
"PTHR11544_SF44",5,1,4,6,5,2,1,1,1,5,5,4,2,3,4,1,2,2,2,3,3,3,3,1,4,1,3,3,6,1,9,8,15,4,2,3,4,2,7,2,6,1,1,3,4
"PTHR11545_SF3",1,2,5,10,1,4,7,1,2,2,1,1,1,7,1,1,1,1,1,5,1,2,5,2,3,1,3,7,1,5,1,6,4,4,2,1,8,3,7,2,6,2,1,3,2
"PTHR11545_SF6",1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11546",6,7,10,7,6,6,7,6,6,8,7,7,6,7,9,9,6,5,6,6,7,6,7,6,6,6,6,6,6,6,5,9,7,6,6,8,8,6,8,8,7,5,6,6,6
"PTHR11547",4,4,6,4,6,4,4,3,4,3,4,4,4,5,6,5,4,4,4,4,4,4,4,4,4,4,5,4,4,6,5,5,4,6,4,4,4,4,6,4,5,4,4,4,5
"PTHR11549_SF11",1,1,4,3,4,3,3,1,1,1,1,1,1,1,1,2,1,1,2,6,1,3,3,1,1,1,1,2,1,1,1,4,2,8,1,1,1,1,2,1,3,1,0,1,4
"PTHR11549_SF2",2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,1,2,2,1,1,3,1,1,1,1,1,2,1,1,4,1
"PTHR11550",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2
"PTHR11556",2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,4,2,2,4,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2
"PTHR11558_SF11",2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,3,1,1,0,2,1,1,1,2,2,1,2,2,2,1,1,1,1
"PTHR11558_SF27",1,1,2,2,2,1,1,1,2,7,1,1,1,4,6,1,2,1,2,2,2,1,4,1,1,1,1,3,1,2,1,4,2,3,1,2,4,2,4,1,2,1,1,1,2
"PTHR11559_SF139",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1
"PTHR11559_SF148",1,1,2,1,1,1,1,2,4,1,0,0,1,1,4,1,6,1,2,3,0,1,1,6,4,1,9,2,1,1,11,5,2,2,0,18,1,1,2,9,1,0,0,0,1
"PTHR11559_SF195",2,1,1,2,1,1,1,1,0,3,2,1,1,1,1,2,1,2,1,1,1,2,1,0,0,1,1,1,1,1,1,1,2,1,1,0,1,1,2,0,1,2,1,1,1
"PTHR11559_SF52",2,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11561",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
"PTHR11564_SF5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11566_SF39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"PTHR11566_SF51",1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,0,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,0,6,1,1,1,2,1,1,1,0,2
"PTHR11566_SF54",2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1
"PTHR11568",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"PTHR11570",1,2,1,2,1,2,5,1,1,3,1,1,2,2,7,1,2,2,1,3,1,1,4,2,2,1,1,2,1,2,2,4,2,3,1,2,1,2,1,1,2,1,1,1,1
"PTHR11571_SF119",3,2,2,1,2,4,2,1,2,0,2,2,1,1,1,1,2,1,3,1,2,1,2,1,3,2,2,2,2,3,1,1,2,3,1,2,1,1,2,2,2,3,1,1,1
"PTHR11571_SF128",1,1,1,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1
"PTHR11575",1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,3,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,2,1
"PTHR11576",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,1,1,3,1
"PTHR11579",3,3,3,3,3,5,4,3,4,4,4,3,3,4,5,4,3,3,4,4,3,4,3,4,3,3,4,3,3,4,3,5,3,3,3,4,3,3,5,3,4,3,8,4,3
"PTHR11581",2,7,5,8,4,10,6,2,5,10,2,3,2,7,5,3,4,2,3,5,3,6,12,2,4,5,2,6,4,8,4,4,3,7,3,4,5,6,7,3,8,1,1,3,3
"PTHR11583",3,2,3,2,2,2,5,2,3,4,2,2,2,3,1,2,1,2,2,4,3,2,4,2,2,3,2,1,2,2,2,3,2,6,1,4,4,2,4,2,4,3,2,1,3
"PTHR11585",5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,4,5,6,5,5,4,4,4,4,5,5,5,4,4,5,5,4,4,6,5,5,4,5,5,5,3,5
"PTHR11586_SF1",1,1,1,1,1,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,4,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1
"PTHR11587",1,1,4,6,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,8,1,3,1,1,2,1,1,8,1,1,2,3,1,6,1,1,8,1,6,1,5,1,1,1,1
"PTHR11588_SF43",1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"PTHR11588_SF54",2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1
"PTHR11588_SF56",1,2,2,2,2,2,2,2,1,3,1,1,1,2,1,2,5,3,1,2,2,1,3,2,2,1,2,2,1,3,1,4,2,2,2,1,1,2,3,2,1,1,2,2,1
"PTHR11588_SF61",1,2,2,5,3,1,3,1,1,1,1,1,1,2,3,8,3,1,1,2,1,1,1,1,3,1,1,2,2,1,1,1,6,4,3,1,2,1,2,1,2,1,2,1,3
"PTHR11588_SF62",1,1,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2
"PTHR11588_SF65",8,9,3,8,8,7,9,3,4,7,6,5,5,5,6,7,4,4,6,4,8,5,6,6,3,8,4,6,7,5,11,3,8,3,5,6,5,7,9,6,4,4,4,7,8
"PTHR11588_SF88",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1
"PTHR11589",3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,5,3,4,2,4,4,4,5,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,2
"PTHR11590",8,8,9,9,8,8,8,9,9,8,8,8,8,8,8,12,8,8,8,9,9,9,8,9,9,8,11,9,8,8,9,8,7,9,8,9,9,8,9,9,9,8,9,8,8
"PTHR11592_SF24",1,1,1,3,1,1,6,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,2,1,1,2,1,1,3,1,3,1,1,1,1,1,1
"PTHR11593",6,11,7,5,13,12,10,7,4,11,2,1,4,6,13,2,2,1,4,8,7,2,8,2,7,7,5,6,6,22,9,14,14,8,3,5,5,9,7,4,8,5,1,2,8
"PTHR11594_SF1",1,8,13,7,7,9,11,3,5,3,4,3,9,5,5,2,7,3,2,13,6,3,8,3,12,2,5,5,3,4,13,14,2,10,10,13,11,11,10,3,9,3,0,15,8
"PTHR11595",2,4,11,6,3,7,8,2,3,5,3,2,2,9,3,5,3,3,2,9,3,5,2,3,4,3,3,7,4,5,3,9,2,8,5,3,8,4,7,4,7,4,2,5,3
"PTHR11596",2,7,3,3,2,7,3,4,3,3,1,4,2,3,4,4,5,2,3,4,3,3,2,4,5,2,6,3,2,7,4,4,2,4,2,3,3,2,4,5,2,2,2,2,2
"PTHR11599_SF10",1,1,1,1,1,1,2,1,1,10,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,2,1,1,1,2
"PTHR11599_SF11",1,1,2,4,3,1,1,1,1,1,1,1,2,2,4,1,3,1,1,3,1,2,4,1,4,1,2,1,1,1,1,6,1,2,2,1,2,2,1,2,3,1,1,1,2
"PTHR11599_SF12",1,1,1,1,6,2,1,1,1,2,2,2,1,2,4,2,1,1,1,1,1,1,4,1,1,1,1,1,3,1,2,4,1,1,1,1,2,1,1,1,3,1,1,1,9
"PTHR11599_SF13",1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1
"PTHR11599_SF14",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1
"PTHR11599_SF16",1,3,1,1,5,3,1,1,1,1,1,1,1,4,1,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,3,3,2,1,1,1,2,1,2,1,2,1,1,2,4
"PTHR11599_SF46",1,1,1,1,1,5,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,3,1,3,1,1,2,1,1,1,1,2,2,1,1,2,1
"PTHR11599_SF49",1,1,3,2,2,1,1,1,1,1,1,1,2,2,2,2,1,3,1,2,1,1,3,1,4,3,2,3,1,1,1,2,1,2,2,1,2,3,2,2,3,1,1,1,2
"PTHR11599_SF5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1
"PTHR11599_SF50",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11599_SF51",1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"PTHR11599_SF53",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"PTHR11606",1,1,4,3,4,2,1,2,1,3,2,1,1,2,4,3,1,1,1,4,3,1,2,1,1,1,1,3,1,2,1,3,1,4,1,1,2,1,5,1,2,2,1,1,2
"PTHR11607",5,9,5,5,7,9,8,4,5,8,5,5,4,5,6,7,5,7,5,5,3,5,5,5,5,6,6,5,6,13,7,5,5,5,5,5,5,4,5,6,5,5,4,5,6
"PTHR11609",2,1,2,1,0,2,1,1,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,5,1,1,1,2,2,1,2,3,1,1,1,1,1
"PTHR11610_SF82",1,1,1,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,3,2,1,1,2,2,1,1,1,1,1,1,1,3,1
"PTHR11610_SF85",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11615",4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,12,3,3,3,3,3,3,3,3,3,2,5,3,3,4,3,3,3,3,3,3,3,3,3,3
"PTHR11616_SF105",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11616_SF110",1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11616_SF116",1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
"PTHR11618_SF13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
"PTHR11618_SF4",1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR11620_SF9",8,6,13,13,16,10,11,3,2,36,2,3,5,6,13,1,4,8,5,8,10,7,6,1,8,25,7,8,24,11,36,27,12,12,8,5,7,4,7,9,8,3,0,3,40
